transaction_id,event_timestamp,ingest_timestamp,card_id,customer_id,card_tier,merchant_name,merchant_category,merchant_city,merchant_country,amount,currency,channel,entry_mode,device_id,ip_address,latitude,longitude,home_city,home_country,scenario_label
596ef2dd-7263-4770-93d4-6d99cc1072f2,2026-04-06T16:11:23.708668+00:00,2026-04-06T16:41:05.735756+00:00,4111-XXXX-XXXX-1018,CUST-10018,standard,QuickTap,Digital Wallet,London,UK,12.53,USD,online,wallet_token,device-0018,10.140.1.104,51.47296727890425,-0.13308418948028275,London,UK,merchant_burst
c08218ef-28ea-479e-aae6-02149402783b,2026-04-06T16:11:30.709664+00:00,2026-04-06T16:41:05.820584+00:00,4111-XXXX-XXXX-1052,CUST-10052,platinum,MarketSquare,Marketplace,New York,USA,35.89,USD,chip,card_present,device-0052,10.102.218.88,40.686216086695715,-74.00080922982075,New York,USA,high_velocity
510857b6-2a3a-4036-88bf-1a98b2d732b1,2026-04-06T16:11:31.708431+00:00,2026-04-06T16:41:05.713231+00:00,4111-XXXX-XXXX-1009,CUST-10009,standard,QuickTap,Digital Wallet,Singapore,Singapore,5.42,USD,online,wallet_token,device-0009,10.27.70.112,1.3454700041645156,103.82745597298144,Singapore,Singapore,merchant_burst
c9f2a686-c622-4f9f-a492-8735a1f5abbb,2026-04-06T16:11:48.708256+00:00,2026-04-06T16:41:05.711779+00:00,4111-XXXX-XXXX-1003,CUST-10003,standard,MarketSquare,Marketplace,Toronto,Canada,10.62,USD,swipe,wallet_token,device-0003,10.22.140.50,43.68392713975899,-79.3703091062283,Toronto,Canada,high_velocity
18e93a5e-3a89-4e64-8ee4-14cf29593eea,2026-04-06T16:12:25.709451+00:00,2026-04-06T16:41:05.713297+00:00,4111-XXXX-XXXX-1043,CUST-10043,gold,QuickTap,Digital Wallet,San Francisco,USA,12.21,USD,online,wallet_token,device-0043,10.179.252.242,37.734437419055446,-122.38431771335827,San Francisco,USA,merchant_burst
73aeaee9-9a47-4578-b9cb-decf7a9753c9,2026-04-06T16:14:05.708167+00:00,2026-04-06T16:41:05.761853+00:00,4111-XXXX-XXXX-1002,CUST-10002,gold,NovaFuel,Fuel,Singapore,Singapore,59.19,USD,online,ecommerce,device-6006,10.130.115.128,1.3630804510251033,103.82555786413005,San Francisco,USA,account_takeover
fd6a6289-29f4-402f-a13a-fbe31a77854b,2026-04-06T16:16:05.709255+00:00,2026-04-06T16:41:05.786974+00:00,4111-XXXX-XXXX-1036,CUST-10036,business,MarketSquare,Marketplace,Singapore,Singapore,320.27,USD,online,card_present,device-4120,10.150.68.91,1.326381138882612,103.81098512653719,San Francisco,USA,normal
3e9b56ec-a475-4041-ae57-56a2ea88c9e1,2026-04-06T16:16:05.710175+00:00,2026-04-06T16:41:05.763328+00:00,4111-XXXX-XXXX-1069,CUST-10069,business,QuickTap,Digital Wallet,Toronto,Canada,27.28,USD,online,ecommerce,device-7965,10.181.12.121,43.64238307529354,-79.34921128245784,Austin,USA,account_takeover
a0fc9603-d44b-442c-8c84-71a5a910d695,2026-04-06T16:17:05.709786+00:00,2026-04-06T16:41:05.762867+00:00,4111-XXXX-XXXX-1057,CUST-10057,business,Urban Stitch,Retail,Austin,USA,43.0,USD,chip,wallet_token,device-9336,10.191.86.124,30.279010791032054,-97.71519345145131,Austin,USA,normal
a6a0e3c8-2e5c-4154-8fa7-2a231ddd4a99,2026-04-06T16:17:05.710324+00:00,2026-04-06T16:41:05.712343+00:00,4111-XXXX-XXXX-1075,CUST-10075,business,QuickTap,Digital Wallet,Miami,USA,37.98,USD,chip,ecommerce,device-2453,10.183.132.92,25.73236373669823,-80.14697647916692,Miami,USA,late_night
4785408c-eb3d-41e6-b622-3f6e8b590ae8,2026-04-06T16:17:45.710175+00:00,2026-04-06T16:41:05.787052+00:00,4111-XXXX-XXXX-1069,CUST-10069,business,QuickTap,Digital Wallet,Austin,USA,26.63,USD,swipe,ecommerce,device-7965,10.189.19.95,30.251647145719424,-97.79147874943713,Austin,USA,high_velocity
edfa323a-c828-4ea7-9af5-1a627c3e8d29,2026-04-06T16:18:05.708829+00:00,2026-04-06T16:41:05.850451+00:00,4111-XXXX-XXXX-1024,CUST-10024,business,NovaFuel,Fuel,London,UK,90.62,USD,chip,wallet_token,device-1290,10.47.21.36,51.53677836116234,-0.09053249029811324,London,UK,normal
def774d4-ccc7-488f-8a8c-43f9029b2453,2026-04-06T16:18:05.709592+00:00,2026-04-06T16:41:05.714237+00:00,4111-XXXX-XXXX-1049,CUST-10049,standard,BlueCart,Groceries,Singapore,Singapore,161.48,USD,online,ecommerce,device-8826,10.61.4.159,1.3211373432545706,103.83271455077826,Chicago,USA,account_takeover
e6a9403a-ad95-4211-a11e-ff0abaa947da,2026-04-06T16:18:05.710128+00:00,2026-04-06T16:41:05.761247+00:00,4111-XXXX-XXXX-1067,CUST-10067,standard,BlueCart,Groceries,San Francisco,USA,131.18,USD,tap,manual_keyed,device-1686,10.31.236.25,37.82303760580637,-122.41680346429503,San Francisco,USA,normal
21503992-533f-4373-a8b1-dc7a6f6fa285,2026-04-06T16:20:05.709040+00:00,2026-04-06T16:41:05.738219+00:00,4111-XXXX-XXXX-1028,CUST-10028,gold,AeroStay,Hospitality,London,UK,109.63,USD,online,ecommerce,device-8429,10.255.109.29,51.472749750094344,-0.08427819171328092,New York,USA,account_takeover
3613559c-3061-4989-9d18-ebe221639a52,2026-04-06T16:20:05.709935+00:00,2026-04-06T16:41:05.713374+00:00,4111-XXXX-XXXX-1060,CUST-10060,platinum,MarketSquare,Marketplace,Chicago,USA,30.41,USD,online,manual_keyed,device-9510,10.234.7.29,41.84578647946409,-87.62217763190688,Austin,USA,impossible_travel
806b8ad7-87cd-40e9-a4a0-0b7f6aaf87be,2026-04-06T16:21:05.709693+00:00,2026-04-06T16:41:05.712512+00:00,4111-XXXX-XXXX-1053,CUST-10053,gold,Electra Hub,Electronics,Chicago,USA,407.79,USD,chip,manual_keyed,device-3101,10.97.35.76,41.893620717265826,-87.60866257045195,Chicago,USA,normal
d984e077-f9ad-46bd-9942-6d8029657389,2026-04-06T16:23:05.710078+00:00,2026-04-06T16:41:05.714905+00:00,4111-XXXX-XXXX-1065,CUST-10065,standard,MarketSquare,Marketplace,Chicago,USA,202.46,USD,online,ecommerce,device-8329,10.118.183.228,41.85369866117286,-87.65834391522284,Chicago,USA,normal
4f81d717-c08a-4678-8d04-bf224aa5155a,2026-04-06T16:24:05.708508+00:00,2026-04-06T16:41:05.713165+00:00,4111-XXXX-XXXX-1012,CUST-10012,standard,Night Owl Bar,Entertainment,New York,USA,103.39,USD,tap,card_present,device-3945,10.107.113.183,40.75447357030253,-73.96071947921261,New York,USA,late_night
25545222-b593-4d6e-8689-4f1b91d58eaa,2026-04-06T16:24:05.709255+00:00,2026-04-06T16:41:05.852621+00:00,4111-XXXX-XXXX-1036,CUST-10036,business,QuickTap,Digital Wallet,San Francisco,USA,109.54,USD,swipe,manual_keyed,device-3435,10.95.162.37,37.73194098143502,-122.41575018185476,San Francisco,USA,normal
904b1988-ed10-448e-af54-a758a6eeeac2,2026-04-06T16:24:05.709477+00:00,2026-04-06T16:41:05.713073+00:00,4111-XXXX-XXXX-1044,CUST-10044,standard,QuickTap,Digital Wallet,Singapore,Singapore,19.47,USD,online,ecommerce,device-7653,10.200.81.6,1.4010413873957952,103.82158665462,Singapore,Singapore,normal
b9b8eb50-cb2f-4b4f-95f2-d77944b49b1d,2026-04-06T16:24:05.709838+00:00,2026-04-06T16:41:05.714717+00:00,4111-XXXX-XXXX-1059,CUST-10059,platinum,NovaFuel,Fuel,Chicago,USA,61.58,USD,online,ecommerce,device-5633,10.51.172.105,41.85484794961067,-87.62708407383575,Chicago,USA,normal
5622096a-117d-435f-bb68-89d6f971fb30,2026-04-06T16:24:30.709664+00:00,2026-04-06T16:41:06.092041+00:00,4111-XXXX-XXXX-1052,CUST-10052,platinum,MarketSquare,Marketplace,New York,USA,1336.99,USD,swipe,manual_keyed,device-9668,10.82.156.64,40.693409993848455,-74.04764810478551,New York,USA,amount_spike
38e7eeb3-19db-4cb8-b1df-ac683cc55cc2,2026-04-06T16:25:05.708558+00:00,2026-04-06T16:41:06.204396+00:00,4111-XXXX-XXXX-1014,CUST-10014,standard,Night Owl Bar,Entertainment,San Francisco,USA,118.12,USD,chip,manual_keyed,device-4524,10.38.183.189,37.72608179915899,-122.43080504197624,San Francisco,USA,normal
78503d81-bcf3-4da0-acce-eb411771fb6d,2026-04-06T16:25:05.708642+00:00,2026-04-06T16:41:05.711966+00:00,4111-XXXX-XXXX-1017,CUST-10017,business,AeroStay,Hospitality,Chicago,USA,118.73,USD,online,manual_keyed,device-3812,10.166.82.29,41.92472516381832,-87.67219840925883,Chicago,USA,normal
7f36859d-f059-4bac-b66f-be3d8c2af5e9,2026-04-06T16:25:05.709399+00:00,2026-04-06T16:41:05.737426+00:00,4111-XXXX-XXXX-1041,CUST-10041,gold,Night Owl Bar,Entertainment,Chicago,USA,28.46,USD,chip,card_present,device-7509,10.89.53.204,41.87758283795901,-87.60928985576102,Austin,USA,impossible_travel
0dada93c-6f86-400e-a58e-8e008fd143da,2026-04-06T16:25:05.709569+00:00,2026-04-06T16:41:05.711589+00:00,4111-XXXX-XXXX-1048,CUST-10048,gold,QuickTap,Digital Wallet,London,UK,56.78,USD,online,ecommerce,device-8417,10.37.108.70,51.54130969846996,-0.1370970986635692,Miami,USA,cross_border
72706dae-86ef-491c-b723-72b70d38edb1,2026-04-06T16:26:05.708587+00:00,2026-04-06T16:41:05.787258+00:00,4111-XXXX-XXXX-1015,CUST-10015,platinum,MarketSquare,Marketplace,Singapore,Singapore,410.11,USD,chip,card_present,device-5325,10.113.45.151,1.3275091017029783,103.82372659888333,Singapore,Singapore,normal
64f82182-1e22-4a41-a241-f1c2ccee5dba,2026-04-06T16:26:05.708693+00:00,2026-04-06T16:41:05.737206+00:00,4111-XXXX-XXXX-1019,CUST-10019,standard,QuickTap,Digital Wallet,New York,USA,104.57,USD,tap,ecommerce,device-7594,10.175.155.206,40.66689783355897,-74.0496928381534,Austin,USA,normal
4254b8a5-7692-4eba-9ac6-64aecab65e38,2026-04-06T16:27:05.708772+00:00,2026-04-06T16:41:05.714092+00:00,4111-XXXX-XXXX-1022,CUST-10022,platinum,Urban Stitch,Retail,San Francisco,USA,108.28,USD,chip,wallet_token,device-9475,10.174.16.61,37.79752725028774,-122.44005574195327,San Francisco,USA,normal
5d1da4ec-5593-447f-855c-b8b5f3fa78d3,2026-04-06T16:28:05.708979+00:00,2026-04-06T16:41:05.884457+00:00,4111-XXXX-XXXX-1026,CUST-10026,business,Cloud9 Travel,Travel,San Francisco,USA,51.82,USD,online,card_present,device-6502,10.99.54.195,37.807417363978985,-122.37356881864693,San Francisco,USA,normal
7e1c3d43-9cfb-450b-b391-bc902eec74bf,2026-04-06T16:29:05.708351+00:00,2026-04-06T16:41:05.882842+00:00,4111-XXXX-XXXX-1006,CUST-10006,business,Night Owl Bar,Entertainment,Miami,USA,49.62,USD,online,ecommerce,device-9732,10.228.202.150,25.71343459026777,-80.16681411585601,San Francisco,USA,account_takeover
994056e4-dab1-4e86-a32a-8adbfcbb727f,2026-04-06T16:29:05.710102+00:00,2026-04-06T16:41:05.713967+00:00,4111-XXXX-XXXX-1066,CUST-10066,standard,AeroStay,Hospitality,San Francisco,USA,2125.46,USD,swipe,manual_keyed,device-6816,10.225.138.190,37.75570224497383,-122.38993516714832,San Francisco,USA,amount_spike
d52940e5-b1ac-4188-ba83-eeec384fcbe8,2026-04-06T16:29:05.710438+00:00,2026-04-06T16:41:05.736324+00:00,4111-XXXX-XXXX-1079,CUST-10079,gold,QuickTap,Digital Wallet,Singapore,Singapore,82.29,USD,chip,card_present,device-1052,10.21.161.134,1.3388066763791322,103.7851478092673,Singapore,Singapore,normal
faaa8dd0-f3b2-400a-8bbb-806d479fce85,2026-04-06T16:30:05.708802+00:00,2026-04-06T16:41:05.819153+00:00,4111-XXXX-XXXX-1023,CUST-10023,gold,BlueCart,Groceries,Singapore,Singapore,62.17,USD,chip,wallet_token,device-1565,10.212.203.86,1.3677125004994304,103.78536465468608,Singapore,Singapore,normal
e8eb3c38-0537-4950-8d51-60ce06ed7aef,2026-04-06T16:30:05.709592+00:00,2026-04-06T16:41:05.736183+00:00,4111-XXXX-XXXX-1049,CUST-10049,standard,Electra Hub,Electronics,Chicago,USA,324.17,USD,tap,wallet_token,device-7380,10.77.185.180,41.92128134799463,-87.59587350649807,Chicago,USA,normal
bc9ec584-3b69-4e48-9f08-0ba434071934,2026-04-06T16:30:05.710275+00:00,2026-04-06T16:41:05.736258+00:00,4111-XXXX-XXXX-1073,CUST-10073,standard,BlueCart,Groceries,Chicago,USA,89.57,USD,chip,ecommerce,device-1476,10.220.26.99,41.91572773385689,-87.64373048428072,Chicago,USA,normal
5e59647a-1732-4d99-920d-29342de12f4a,2026-04-06T16:31:05.710226+00:00,2026-04-06T16:41:05.915558+00:00,4111-XXXX-XXXX-1071,CUST-10071,platinum,QuickTap,Digital Wallet,Miami,USA,55.1,USD,swipe,card_present,device-8025,10.170.229.150,25.762662725561935,-80.17059809592448,Miami,USA,normal
c5535529-a711-4680-8e64-a8885a8858db,2026-04-06T16:32:05.710051+00:00,2026-04-06T16:41:05.763014+00:00,4111-XXXX-XXXX-1064,CUST-10064,standard,Urban Stitch,Retail,Toronto,Canada,63.23,USD,online,wallet_token,device-6986,10.23.165.97,43.624976412545095,-79.40022237063465,Toronto,Canada,normal
9b59621c-1531-4948-8b17-7c6e47690539,2026-04-06T16:34:05.708533+00:00,2026-04-06T16:41:05.735612+00:00,4111-XXXX-XXXX-1013,CUST-10013,standard,AeroStay,Hospitality,San Francisco,USA,156.62,USD,tap,wallet_token,device-6844,10.140.175.22,37.75988115146799,-122.42246258079088,San Francisco,USA,normal
2490995e-b4c5-4e77-88b9-5274ac831326,2026-04-06T16:34:05.709203+00:00,2026-04-06T16:41:05.713449+00:00,4111-XXXX-XXXX-1034,CUST-10034,gold,Pulse Pharmacy,Healthcare,Singapore,Singapore,86.43,USD,online,ecommerce,device-4815,10.237.62.122,1.3805674427383365,103.85012575406022,Miami,USA,cross_border
8b47826b-93d6-47fa-a725-9a381f0f7bca,2026-04-06T16:34:05.709284+00:00,2026-04-06T16:41:05.761354+00:00,4111-XXXX-XXXX-1037,CUST-10037,business,Urban Stitch,Retail,New York,USA,117.09,USD,tap,wallet_token,device-7195,10.155.25.167,40.67881561162748,-74.00151293126244,New York,USA,normal
9e12bb1e-b67f-4114-b7da-632269f1ce5b,2026-04-06T16:35:05.709092+00:00,2026-04-06T16:41:05.790731+00:00,4111-XXXX-XXXX-1030,CUST-10030,business,Electra Hub,Electronics,London,UK,80.9,USD,tap,manual_keyed,device-7796,10.26.186.90,51.47671705010871,-0.1053041597011798,London,UK,normal
f3dc4c8c-7dcb-41cb-8fc2-0d336fd51d55,2026-04-06T16:36:05.708587+00:00,2026-04-06T16:41:05.818994+00:00,4111-XXXX-XXXX-1015,CUST-10015,platinum,MarketSquare,Marketplace,Singapore,Singapore,197.15,USD,swipe,manual_keyed,device-5510,10.77.153.162,1.3622097281046208,103.86735505782384,Singapore,Singapore,normal
1f1df408-bcf9-4b3b-8a45-c5f9cc8df5ec,2026-04-06T16:36:05.709638+00:00,2026-04-06T16:41:05.738284+00:00,4111-XXXX-XXXX-1051,CUST-10051,gold,MarketSquare,Marketplace,Miami,USA,76.04,USD,online,wallet_token,device-3990,10.236.124.104,25.72471139198917,-80.2132737645046,New York,USA,impossible_travel
0ed60fd8-a0cb-412c-aaf7-46365d48db5a,2026-04-06T16:37:05.709425+00:00,2026-04-06T16:41:05.711360+00:00,4111-XXXX-XXXX-1042,CUST-10042,gold,MarketSquare,Marketplace,London,UK,47.03,USD,chip,ecommerce,device-2823,10.80.19.34,51.48808808695649,-0.1283902126977895,London,UK,normal
11b78a55-ae47-4e39-8abf-83b86a382a6a,2026-04-06T16:39:05.708719+00:00,2026-04-06T16:41:05.761427+00:00,4111-XXXX-XXXX-1020,CUST-10020,business,QuickTap,Digital Wallet,San Francisco,USA,52.81,USD,chip,wallet_token,device-4036,10.139.43.154,37.740418802593794,-122.44842377151477,San Francisco,USA,normal
bf08d4b8-9f10-4831-8b23-38443eecf704,2026-04-06T16:39:05.708979+00:00,2026-04-06T16:41:06.093910+00:00,4111-XXXX-XXXX-1026,CUST-10026,business,Cloud9 Travel,Travel,San Francisco,USA,132.14,USD,swipe,card_present,device-3419,10.65.98.149,37.79596435828915,-122.41426014046903,San Francisco,USA,normal
49af9adc-a2d6-4fc0-88ff-db4cd71fda81,2026-04-06T16:39:05.709144+00:00,2026-04-06T16:41:05.711483+00:00,4111-XXXX-XXXX-1032,CUST-10032,business,Electra Hub,Electronics,San Francisco,USA,214.5,USD,online,card_present,device-1565,10.45.240.146,37.77199467568501,-122.3885329948978,San Francisco,USA,normal
89bf551f-2390-41d1-be25-3e3d8118f317,2026-04-06T16:39:05.709227+00:00,2026-04-06T16:41:05.787635+00:00,4111-XXXX-XXXX-1035,CUST-10035,standard,Cloud9 Travel,Travel,Chicago,USA,128.41,USD,tap,ecommerce,device-2059,10.229.221.210,41.8579887355001,-87.5869308894065,Chicago,USA,normal
4dc1e407-2fc5-45e0-a15a-6b63902e4331,2026-04-06T16:39:05.710151+00:00,2026-04-06T16:41:05.736545+00:00,4111-XXXX-XXXX-1068,CUST-10068,platinum,BlueCart,Groceries,San Francisco,USA,104.63,USD,chip,ecommerce,device-6834,10.252.45.216,37.78546245739738,-122.3880479038052,San Francisco,USA,normal
